Enfermedades,,,,,,
Faringitis,Orange,Lemon,,,,
Bronquitis,Melon,avocado,lentils,,,
Gastritis,sausage,bacon,ham,Butter,,
Hepatitis,Alcohol,coffee,White flour,,,
Úlceras,milk,coffee,tea,Orange,grapefruit,Alcohol
Hipertension,Salt,Alcohol,Pickles,sausage,,
Arritmia,Alcohol,coffee,Salt,Sugar,,
Varices,carrots,bread,ham,sausage,,
Obesidad,white bread,white rice,pasta,Potatoe,,
Diabetes,Honey,white rice,pasta,Potatoe,maple syrup,
Osteoporosis,Cola,Bread,rice,cereal,,
Migraña,Chocolate,Nuts,peanut butter,papayas,avocados,
Imsomnio,Chocolate,Cheese,Curry,Banana,Cherrie,
Alzheimer,Butter,Cheese,,,,
